,0
2249,176955
2250,176970
2251,176973
2252,177011
2253,177129
2254,177285
2255,177320
2256,177449
2257,177454
2258,177480
2259,177517
2260,177531
2261,177793
2262,177872
2263,177891
2264,177894
2265,177935
2266,178049
2267,178083
2268,178298
2269,178337
2270,178512
2271,178525
2272,178592
2273,178672
2274,178688
2275,178739
2276,178748
2277,178809
2278,178862
2279,178878
2280,179005
2281,179038
2282,179241
2283,179380
2284,179492
2285,179671
2286,179871
2287,179873
2288,179879
2289,179970
2290,180071
2291,180244
2292,180322
2293,180352
2294,180409
2295,180525
2296,180528
2297,180811
2298,180835
2299,180896
2300,180897
2301,180920
2302,180990
2303,181055
2304,181231
2305,181251
2306,181400
2307,181483
2308,181593
2309,181613
2310,181783
2311,181787
2312,181928
2313,182007
2314,182018
2315,182037
2316,182083
2317,182110
2318,182277
2319,182343
2320,182364
2321,182456
2322,182509
2323,182552
2324,182556
2325,182613
2326,182620
2327,182670
2328,182689
2329,182770
2330,182790
2331,182817
2332,182962
2333,183051
2334,183062
2335,183365
2336,183483
2337,183533
2338,183671
2339,183910
2340,183981
2341,184128
2342,184178
2343,184248
2344,184299
2345,184318
2346,184390
2347,184437
2348,184819
2349,184832
2350,184931
2351,184997
2352,185008
2353,185028
2354,185059
2355,185065
2356,185124
2357,185149
2358,185168
2359,185194
2360,185235
2361,185366
2362,185378
2363,185425
2364,185764
2365,185811
2366,185845
2367,185928
2368,185996
2369,186167
2370,186308
2371,186329
2372,186454
2373,186574
2374,186582
2375,186589
2376,186931
2377,186998
2378,187036
2379,187149
2380,187205
2381,187220
2382,187389
2383,187472
2384,187553
2385,187559
2386,187590
2387,187598
2388,187808
2389,187930
2390,187960
2391,188003
2392,188026
2393,188028
2394,188175
2395,188276
2396,188311
2397,188443
2398,188463
2399,188575
2400,188656
2401,188825
2402,188936
2403,188970
2404,189106
2405,189186
2406,189379
2407,189424
2408,189456
2409,189522
2410,189603
2411,189735
2412,189785
2413,189820
2414,189826
2415,189859
2416,190100
2417,190254
2418,190256
2419,190272
2420,190309
2421,190480
2422,190621
2423,190630
2424,190783
2425,190893
2426,190999
2427,191163
2428,191188
2429,191257
2430,191345
2431,191355
2432,191390
2433,191427
2434,191602
2435,191606
2436,191629
2437,191645
2438,191655
2439,191867
2440,192091
2441,192202
2442,192260
2443,192272
2444,192317
2445,192318
2446,192554
2447,192610
2448,192676
2449,192928
2450,192985
2451,193325
2452,193414
2453,193459
2454,193527
2455,193617
2456,193688
2457,193749
2458,193998
2459,194017
2460,194290
2461,194293
2462,194352
2463,194434
2464,194438
2465,194521
2466,194792
2467,194816
2468,194862
2469,194874
2470,194966
2471,195204
2472,195278
2473,195691
2474,195705
2475,195719
2476,195749
2477,195904
2478,195931
2479,195962
2480,196291
2481,196366
2482,196439
2483,196446
2484,196648
2485,196701
2486,196762
2487,196852
2488,196901
2489,197105
2490,197184
2491,197230
2492,197679
2493,197688
2494,197756
2495,197789
2496,197795
2497,197902
2498,197937
2499,198013
